"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","13.116935483870968","0.0","0.07623731939747924","0.0","SNF3","1","1","26","0.139","0.018043","0.333","0.033961","0.449","0.011348","false","false",,"Unclustered","0.0","YDL194W","2.0","0","1","0","0.326836917562724","false","0","YDL194W","0","0.0"
"1","12.120967741935484","0.00806451612903226","0.0825016633399867","0.0","MTH1","2","2","25","0.243","2.186E-5","0.192","0.028044","0.448","5.727E-4","false","false",,"Unclustered","0.6666666666666666","YDR277C","4.0","0","2","0","0.382168458781362","false","0","YDR277C","2722","0.5"
"20","1.5","0.0","0.6666666666666666","0.0","YBR043C","1","1","2","0.454","5.373E-8","0.023","0.94178","0.0","0.999999","false","false",,"Unclustered","0.0","YBR043C","2.0","0","1","0","0.75","false","0","YBR043C","0","0.0"
"1","9.798387096774194","0.0","0.10205761316872428","0.0","ASN1","1","1","18","-0.195","3.174E-5","-0.614","1.1525E-7","-0.232","0.0011873","false","false",,"Unclustered","0.0","YPR145W","3.0","0","1","0","0.5112007168458781","false","0","YPR145W","0","0.0"
"2","8.818548387096774","0.04427321405250098","0.1133973479652492","0.0","GIP2","2","2","19","0.057","0.16958","0.206","6.2032E-4","0.247","0.0043603","false","false",,"Unclustered","0.6666666666666666","YER054C","4.5","0","2","0","0.5656362007168458","false","0","YER054C","11544","0.5833333333333334"
"2","9.64516129032258","0.08528144181794438","0.10367892976588629","0.0","GIP1","3","3","20","0.786","5.5911E-6","1.022","1.2945E-5","0.94","0.016389","false","false",,"Unclustered","0.5","YBR045C","2.3333333333333335","0","3","0","0.5197132616487455","false","0","YBR045C","21474","0.4444444444444444"
"13","2.0","0.0","0.5","0.0","NUP170","1","1","3","-0.186","2.5668E-4","-0.032","0.45723","-0.42","2.9469E-9","false","false",,"Unclustered","0.0","YBL079W","2.0","0","1","0","0.5","false","0","YBL079W","0","0.0"
"1","9.116935483870968","0.0","0.1096859796550199","0.0","YLR345W","1","1","19","0.108","0.012373","0.234","7.892E-5","0.116","0.073789","false","false",,"Unclustered","0.0","YLR345W","2.0","0","1","0","0.5490591397849462","false","0","YLR345W","0","0.0"
"1","9.149193548387096","0.0","0.10929925077126489","0.0","RPL34B","1","1","19","-0.258","3.7855E-5","-0.451","3.4652E-7","-0.025","0.66627","false","false",,"Unclustered","0.0","YIL052C","8.0","0","1","0","0.5472670250896058","false","0","YIL052C","0","0.0"
"1","9.149193548387096","0.0","0.10929925077126489","0.0","","1","1","19",,,,,,,"false","false",,"Unclustered","0.0","YER056CA","8.0","0","1","0","0.5472670250896058","false","0","YER056CA","0","0.0"
"1","9.149193548387096","0.0","0.10929925077126489","0.0","RPL16B","1","1","19","-0.346","2.6481E-7","-0.284","5.1994E-5","-0.124","0.026888","false","false",,"Unclustered","0.0","YNL069C","8.0","0","1","0","0.5472670250896058","false","0","YNL069C","0","0.0"
"1","9.149193548387096","0.0","0.10929925077126489","0.0","RPL31A","1","1","19","-0.218","0.0041386","-0.451","1.5697E-6","0.056","0.38208","false","false",,"Unclustered","0.0","YDL075W","8.0","0","1","0","0.5472670250896058","false","0","YDL075W","0","0.0"
"5","2.0","0.0","0.5","0.0","CMK1","1","1","3","0.229","1.1443E-5","0.304","8.1743E-6","0.047","0.64057","false","false",,"Unclustered","0.0","YFR014C","3.0","0","1","0","0.6666666666666666","false","0","YFR014C","0","0.0"
"1","11.068548387096774","0.0","0.09034608378870675","0.0","YGR136W","1","1","21","-0.167","2.4958E-4","-0.163","0.0042386","-0.204","0.0020376","false","false",,"Unclustered","0.0","YGR136W","2.0","0","1","0","0.4406362007168459","false","0","YGR136W","0","0.0"
"1","7.826612903225806","0.0","0.12776919113858837","0.0","YDL023C","1","1","17","-0.712","4.5602E-11","0.497","1.8858E-5","-0.406","1.7119E-8","false","false",,"Unclustered","0.0","YDL023C","2.0","0","1","0","0.6207437275985663","false","0","YDL023C","0","0.0"
"19","1.5","0.0","0.6666666666666666","0.0","NPL4","1","1","2","0.128","0.0078298","-0.134","0.13454","0.429","0.0016184","false","false",,"Unclustered","0.0","YBR170C","2.0","0","1","0","0.75","false","0","YBR170C","0","0.0"
"20","1.0","1.0","1.0","0.0","SMD1","2","2","1","-0.074","0.11939","-0.133","0.08221","0.029","0.80755","false","false",,"Unclustered","0.6666666666666666","YGR074W","1.0","0","2","0","1.0","false","0","YGR074W","2","0.0"
"20","1.5","0.0","0.6666666666666666","0.0","ARO8","1","1","2","-0.305","4.2677E-7","-0.286","4.2373E-5","-0.536","3.8938E-13","false","false",,"Unclustered","0.0","YGL202W","2.0","0","1","0","0.75","false","0","YGL202W","0","0.0"
"14","1.0","0.0","1.0","1.0","SIK1","2","2","1","0.02","0.70174","-0.521","1.0814E-5","0.49","3.3814E-8","false","false","Cluster 3","Clustered","2.0","YLR197W","2.0","0","2","0","1.0","false","0","YLR197W","0","1.0"
"13","1.3333333333333333","0.6666666666666666","0.75","0.0","ASM4","2","2","2","0.069","0.091906","-0.074","0.32752","0.124","0.081403","false","false",,"Unclustered","0.6666666666666666","YDL088C","1.5","0","2","0","0.8333333333333334","false","0","YDL088C","4","0.5"
