Gene.ID	Gene.Name	brain
ENSG00000000003	TSPAN6	5
ENSG00000000419	DPM1	25
ENSG00000000457	SCYL3	2
ENSG00000000938	FGR	1
ENSG00000000971	CFH	4
ENSG00000001036	FUCA2	13
ENSG00000001084	GCLC	10
ENSG00000001167	NFYA	6
ENSG00000001460	STPG1	2
ENSG00000001461	NIPAL3	23
ENSG00000001497	LAS1L	6
ENSG00000001561	ENPP4	31
ENSG00000001617	SEMA3F	0.9
ENSG00000001629	ANKIB1	14
ENSG00000001630	CYP51A1	0.8
ENSG00000001631	KRIT1	5
ENSG00000002016	RAD52	2
ENSG00000002330	BAD	7
ENSG00000002549	LAP3	28
ENSG00000002586	CD99	18
ENSG00000002587	HS3ST1	0.8
ENSG00000002746	HECW1	5
ENSG00000002822	MAD1L1	1
ENSG00000002834	LASP1	12
ENSG00000002919	SNX11	5
ENSG00000002933	TMEM176A	4
ENSG00000003056	M6PR	9
ENSG00000003096	KLHL13	2
ENSG00000003137	CYP26B1	5
ENSG00000003147	ICA1	5
ENSG00000003249	DBNDD1	5
ENSG00000003393	ALS2	5
ENSG00000003400	CASP10	0.7
ENSG00000003402	CFLAR	4
ENSG00000003436	TFPI	1
ENSG00000003509	NDUFAF7	3
ENSG00000003756	RBM5	6
ENSG00000003987	MTMR7	10
ENSG00000003989	SLC7A2	11
ENSG00000004059	ARF5	22
ENSG00000004139	SARM1	0.8
ENSG00000004142	POLDIP2	36
ENSG00000004399	PLXND1	4
ENSG00000004455	AK2	7
ENSG00000004468	CD38	3
ENSG00000004478	FKBP4	21
ENSG00000004487	KDM1A	10
ENSG00000004534	RBM6	8
ENSG00000004660	CAMKK1	15
ENSG00000004700	RECQL	4
ENSG00000004766	VPS50	4
ENSG00000004776	HSPB6	10
ENSG00000004777	ARHGAP33	3
ENSG00000004779	NDUFAB1	29
ENSG00000004799	PDK4	25
ENSG00000004838	ZMYND10	0.7
ENSG00000004848	ARX	4
ENSG00000004864	SLC25A13	5
ENSG00000004866	ST7	2
ENSG00000004897	CDC27	13
ENSG00000004961	HCCS	9
ENSG00000004975	DVL2	2
ENSG00000005007	UPF1	6
ENSG00000005020	SKAP2	6
ENSG00000005022	SLC25A5	124
ENSG00000005059	MCUB	1
ENSG00000005075	POLR2J	4
ENSG00000005100	DHX33	5
ENSG00000005108	THSD7A	2
ENSG00000005156	LIG3	1
ENSG00000005175	RPAP3	7
ENSG00000005189	AC004381.6	0.7
ENSG00000005194	CIAPIN1	9
ENSG00000005206	SPPL2B	2
ENSG00000005238	FAM214B	4
ENSG00000005243	COPZ2	4
ENSG00000005249	PRKAR2B	33
ENSG00000005302	MSL3	4
ENSG00000005339	CREBBP	4
ENSG00000005379	TSPOAP1	4
ENSG00000005381	MPO	0.9
ENSG00000005436	GCFC2	5
ENSG00000005448	WDR54	5
ENSG00000005469	CROT	2
ENSG00000005483	KMT2E	16
ENSG00000005486	RHBDD2	43
ENSG00000005513	SOX8	12
ENSG00000005700	IBTK	8
ENSG00000005801	ZNF195	4
ENSG00000005810	MYCBP2	14
ENSG00000005812	FBXL3	14
ENSG00000005882	PDK2	5
ENSG00000005884	ITGA3	2
ENSG00000005889	ZFX	5
ENSG00000005893	LAMP2	134
ENSG00000005981	ASB4	0.7
ENSG00000006007	GDE1	22
ENSG00000006015	C19orf60	2
ENSG00000006016	CRLF1	2
ENSG00000006025	OSBPL7	0.8
ENSG00000006042	TMEM98	6
ENSG00000006062	MAP3K14	1
ENSG00000006071	ABCC8	2
ENSG00000006116	CACNG3	14
ENSG00000006118	TMEM132A	8
ENSG00000006125	AP2B1	56
ENSG00000006128	TAC1	4
ENSG00000006194	ZNF263	3
ENSG00000006210	CX3CL1	10
ENSG00000006282	SPATA20	5
ENSG00000006283	CACNA1G	1
ENSG00000006327	TNFRSF12A	1
ENSG00000006377	DLX6	0.7
ENSG00000006432	MAP3K9	5
ENSG00000006451	RALA	15
ENSG00000006459	KDM7A	3
ENSG00000006468	ETV1	6
ENSG00000006530	AGK	6
ENSG00000006534	ALDH3B1	0.7
ENSG00000006576	PHTF2	3
ENSG00000006607	FARP2	2
ENSG00000006611	USH1C	6
ENSG00000006625	GGCT	17
ENSG00000006634	DBF4	0.9
ENSG00000006652	IFRD1	5
ENSG00000006695	COX10	3
ENSG00000006704	GTF2IRD1	2
ENSG00000006712	PAF1	21
ENSG00000006715	VPS41	18
ENSG00000006740	ARHGAP44	8
ENSG00000006744	ELAC2	4
ENSG00000006747	SCIN	1
ENSG00000006756	ARSD	2
ENSG00000006757	PNPLA4	7
ENSG00000006831	ADIPOR2	28
ENSG00000006837	CDKL3	2
ENSG00000007001	UPP2	1
ENSG00000007047	MARK4	7
ENSG00000007062	PROM1	0.7
ENSG00000007080	CCDC124	11
ENSG00000007129	CEACAM21	0.6
ENSG00000007168	PAFAH1B1	61
ENSG00000007171	NOS2	0.8
ENSG00000007174	DNAH9	0.8
ENSG00000007202	KIAA0100	10
ENSG00000007237	GAS7	83
ENSG00000007255	TRAPPC6A	6
ENSG00000007264	MATK	4
ENSG00000007341	ST7L	1
ENSG00000007372	PAX6	3
ENSG00000007376	RPUSD1	2
ENSG00000007384	RHBDF1	1
ENSG00000007392	LUC7L	6
ENSG00000007402	CACNA2D2	2
ENSG00000007516	BAIAP3	7
ENSG00000007520	TSR3	12
ENSG00000007541	PIGQ	1
ENSG00000007545	CRAMP1	2
ENSG00000007866	TEAD3	1
ENSG00000007908	SELE	1
ENSG00000007923	DNAJC11	6
ENSG00000007944	MYLIP	5
ENSG00000008018	PSMB1	35
ENSG00000008056	SYN1	97
ENSG00000008083	JARID2	5
ENSG00000008086	CDKL5	9
ENSG00000008118	CAMK1G	13
ENSG00000008128	CDK11A	0.9
ENSG00000008130	NADK	3
ENSG00000008256	CYTH3	6
ENSG00000008277	ADAM22	12
ENSG00000008282	SYPL1	34
ENSG00000008283	CYB561	5
ENSG00000008294	SPAG9	28
ENSG00000008300	CELSR3	1
ENSG00000008311	AASS	4
ENSG00000008324	SS18L2	8
ENSG00000008382	MPND	4
ENSG00000008394	MGST1	6
ENSG00000008405	CRY1	5
ENSG00000008441	NFIX	46
ENSG00000008513	ST3GAL1	3
ENSG00000008517	IL32	0.9
ENSG00000008710	PKD1	2
ENSG00000008735	MAPK8IP2	23
ENSG00000008838	MED24	5
ENSG00000008853	RHOBTB2	9
ENSG00000008869	HEATR5B	5
ENSG00000008952	SEC62	76
ENSG00000008988	RPS20	67
ENSG00000009307	CSDE1	114
ENSG00000009335	UBE3C	8
ENSG00000009413	REV3L	3
ENSG00000009694	TENM1	1
ENSG00000009724	MASP2	1
ENSG00000009780	FAM76A	4
ENSG00000009830	POMT2	2
ENSG00000009844	VTA1	10
ENSG00000009950	MLXIPL	1
ENSG00000009954	BAZ1B	14
