From	To
ENSG00000000003	A0A087WYV6
ENSG00000000003	A0A087WZU5
ENSG00000000003	O43657
ENSG00000000419	H0Y368
ENSG00000000419	O60762
ENSG00000000419	Q5QPJ9
ENSG00000000419	Q5QPK2
ENSG00000000457	Q8IZE3
ENSG00000000457	X6RHX1
ENSG00000000938	P09769
ENSG00000000938	Q5TGY6
ENSG00000000971	A0A0D9SG88
ENSG00000000971	P08603
ENSG00000000971	Q5TFM2
ENSG00000001036	Q7Z6V2
ENSG00000001036	Q9BTY2
ENSG00000001084	A0A0C4DGB2
ENSG00000001084	D6R959
ENSG00000001084	D6REX4
ENSG00000001084	D6RGF8
ENSG00000001084	D6RIT4
ENSG00000001084	E1CEI4
ENSG00000001084	H0Y9I7
ENSG00000001084	H0YAB6
ENSG00000001084	P48506
ENSG00000001167	P23511
ENSG00000001460	H0Y4J3
ENSG00000001460	Q5TH74
ENSG00000001460	Q5TH77
ENSG00000001461	A6NN97
ENSG00000001461	H0Y4I9
ENSG00000001461	Q6P499
ENSG00000001497	Q9Y4W2
ENSG00000001497	R4GNF7
ENSG00000001561	Q9Y6X5
ENSG00000001617	C9IYS6
ENSG00000001617	C9J1V2
ENSG00000001617	C9J4H5
ENSG00000001617	C9JPG5
ENSG00000001617	H7C4A2
ENSG00000001617	Q13275
ENSG00000001629	C9JZ63
ENSG00000001629	H7C0S0
ENSG00000001629	H7C2L9
ENSG00000001629	H7C2V2
ENSG00000001629	Q9P2G1
ENSG00000001630	A0A0C4DFL7
ENSG00000001630	C9IYR8
ENSG00000001630	H7C0D0
ENSG00000001630	Q16850
ENSG00000001631	A0A0C4DG23
ENSG00000001631	C9J3W7
ENSG00000001631	C9J718
ENSG00000001631	C9JBN7
ENSG00000001631	C9JD43
ENSG00000001631	C9JD81
ENSG00000001631	C9JEW7
ENSG00000001631	C9JF32
ENSG00000001631	C9JI47
ENSG00000001631	C9JIY2
ENSG00000001631	C9JJM9
ENSG00000001631	C9JSG7
ENSG00000001631	C9JXI9
ENSG00000001631	O00522
ENSG00000002016	E9PF95
ENSG00000002016	F5GX32
ENSG00000002016	F5GX95
ENSG00000002016	F5H1K5
ENSG00000002016	P43351
ENSG00000002330	A8MXU7
ENSG00000002330	F5GYS3
ENSG00000002330	F5H1R6
ENSG00000002330	F5H3B1
ENSG00000002330	Q92934
ENSG00000002549	H0Y983
ENSG00000002549	H0Y9Q1
ENSG00000002549	P28838
ENSG00000002586	A0A096LP69
ENSG00000002586	A6NGF6
ENSG00000002586	A6NJT9
ENSG00000002586	A8MQT7
ENSG00000002586	H7C2F2
ENSG00000002586	P14209
ENSG00000002587	E9PDE3
ENSG00000002587	O14792
ENSG00000002746	H7C3Q2
ENSG00000002746	Q76N89
ENSG00000002822	C9J9H5
ENSG00000002822	C9JIR0
ENSG00000002822	C9JJ38
ENSG00000002822	C9JKI7
ENSG00000002822	C9JP81
ENSG00000002822	C9JPS1
ENSG00000002822	C9JTA2
ENSG00000002822	C9JX80
ENSG00000002822	C9K086
ENSG00000002822	Q9Y6D9
ENSG00000002834	C9J9W2
ENSG00000002834	F6S2S5
ENSG00000002834	J3KSN1
ENSG00000002834	K7ESD6
ENSG00000002834	Q14847
ENSG00000002919	B4DJI7
ENSG00000002919	J3KTN6
ENSG00000002919	J3QKV3
ENSG00000002919	J3QLV8
ENSG00000002919	J3QRB9
ENSG00000002919	J3QRW4
ENSG00000002919	Q9Y5W9
ENSG00000002933	C9JJ63
ENSG00000002933	C9JRT9
ENSG00000002933	H7C4P5
ENSG00000002933	Q96HP8
ENSG00000003056	F5GX30
ENSG00000003056	F5GXE0
ENSG00000003056	F5GXU0
ENSG00000003056	F5H4U1
ENSG00000003056	F5H883
ENSG00000003056	H0YF90
ENSG00000003056	H0YFL0
ENSG00000003056	H0YFY9
ENSG00000003056	H0YGE9
ENSG00000003056	H0YGT2
ENSG00000003056	P20645
ENSG00000003096	A0A0C4DG99
ENSG00000003096	C9JTS9
ENSG00000003096	Q9P2N7
ENSG00000003137	E5RHM2
ENSG00000003137	E5RHN4
ENSG00000003137	E7ER08
ENSG00000003137	Q9NR63
ENSG00000003147	B9ZVM7
ENSG00000003147	C9IZC7
ENSG00000003147	C9J3Y4
ENSG00000003147	C9J8Y3
ENSG00000003147	E7ENI6
ENSG00000003147	E9PDL4
ENSG00000003147	F8WET5
ENSG00000003147	Q05084
ENSG00000003147	Q6LCR0
ENSG00000003147	Q6LCT9
ENSG00000003249	H3BLZ2
ENSG00000003249	H3BS76
ENSG00000003249	Q9H9R9
ENSG00000003393	H0Y696
ENSG00000003393	J3KQ33
ENSG00000003393	J3KQ43
ENSG00000003393	Q96Q42
ENSG00000003400	B4E3T5
ENSG00000003400	Q92851
ENSG00000003402	A0A0A0MR92
ENSG00000003402	C9J408
ENSG00000003402	C9J4Q0
ENSG00000003402	C9JSU3
ENSG00000003402	C9JV51
ENSG00000003402	E9PAP3
ENSG00000003402	F8WBH9
ENSG00000003402	M0QY57
ENSG00000003402	M0QYM0
ENSG00000003402	M0R1A8
ENSG00000003402	O15519
ENSG00000003436	C9J103
ENSG00000003436	C9JBB3
ENSG00000003436	C9JKV3
ENSG00000003436	C9JP39
ENSG00000003436	C9JQ14
ENSG00000003436	C9JT76
ENSG00000003436	P10646
ENSG00000003509	B4E0W7
ENSG00000003509	C9J236
ENSG00000003509	C9JEL7
ENSG00000003509	C9JP36
ENSG00000003509	C9JS27
ENSG00000003509	H7C3N5
ENSG00000003509	Q7L592
ENSG00000003756	C9J9P7
ENSG00000003756	C9JFQ5
ENSG00000003756	C9JR02
ENSG00000003756	F8W910
ENSG00000003756	F8WE23
ENSG00000003756	H7BYM9
ENSG00000003756	P52756
ENSG00000003987	E5RK11
ENSG00000003987	Q9Y216
ENSG00000003989	P52569
ENSG00000004059	C9J1Z8
ENSG00000004059	P84085
ENSG00000004139	J3KRZ6
ENSG00000004139	J3KSG7
ENSG00000004139	J3QRE0
ENSG00000004139	Q6SZW1
ENSG00000004142	B4DEM9
ENSG00000004142	Q9Y2S7
ENSG00000004399	D6RH25
ENSG00000004399	H0Y9D1
ENSG00000004399	H0YA64
ENSG00000004399	H0YAB2
ENSG00000004399	H0YAM9
ENSG00000004399	Q9Y4D7
ENSG00000004455	F8VPP1
ENSG00000004455	F8VY04
ENSG00000004455	F8VZG5
ENSG00000004455	F8W1A4
ENSG00000004455	G3V213
